gene,tx,de_coef,de_se,de_pval,dv_coef,dv_se,dv_pval,de_pval_adj,dv_pval_adj
SCYL3,species,-0.32624579422804334,0.048416610056630636,1.815505750989258e-11,0.051031698759338384,0.10073011954707219,0.6583996616784984,5.196034297152365e-11,0.8923162742487877
C1orf112,species,-0.10729784851455891,0.03411713545089978,0.0016271938513353979,-0.19369453077407958,0.07705406713813322,0.00947051324485954,0.0025473910910392074,0.10728136321398393
NIPAL3,species,0.08495337000287666,0.05426064715130312,0.10963650000934955,0.010101053360435186,0.11999555617056622,0.9350172888717219,0.1350191358197848,0.9812386379069735
AK2,species,-0.12101421360678427,0.035224772376710976,0.0006901905987044477,0.047452624273218134,0.09112523836049784,0.5991692463760939,0.0011283590116478203,0.8742425911192456
KDM1A,species,0.02859321684738417,0.01844792075483331,0.12069392324681102,-0.10690944947123224,0.07118596373238606,0.14053368887376458,0.14761910774213258,0.5116246503535814
ST7L,species,0.05667292083423278,0.029165500942580726,0.056793212277935406,-0.08091463977584094,0.08101109644924072,0.2980470888632953,0.07306631237590053,0.6848063053976782
DNAJC11,species,0.07713346007567713,0.02622776260139079,0.0036893632293014894,-0.15626003933506802,0.08069915145039545,0.058119792544483045,0.0055343968152582156,0.3342632106691483
E2F2,species,0.038383622020899906,0.05210986736379701,0.4583795078545195,-0.07448047100702873,0.09462306678750426,0.39660935072583775,0.503180632609918,0.7665193398468131
CSDE1,species,-0.008421043246902698,0.013032612028580142,0.5038234802382442,0.05600473090339247,0.05681992283548797,0.30055673671065963,0.5483195184984878,0.686800182977487
PAX7,species,0.23773859651112164,0.04732037239702514,5.233147204344804e-07,-0.05859286836271059,0.07542454734525687,0.47205118468005297,1.1216740272780493e-06,0.8145887651348938
SCMH1,species,0.1645561235188122,0.016777881468164887,8.360336194663083e-23,0.004098478340714531,0.046550072735842066,0.910588053116331,3.995681651212228e-22,0.9737365734162419
