gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.651074458869681,-12.40292393855349,-12.734710580007505
LINC01409,-12.0733020522379,-11.982855958767901,-12.860139524800601
LINC00115,-11.989123273814057,-12.492867954043136,-12.502153669265368
LINC01128,-10.505642114323003,-10.711100133098617,-10.796640597569656
SAMD11,-12.267332998211531,-11.942816396753695,-11.625340958407728
NOC2L,-10.336039416576492,-10.324278326976975,-10.47314623343325
HES4,-10.681633009028081,-10.624177577553436,-11.61449245110192
ISG15,-11.238134711775665,-11.130717839103712,-11.158622528487959
AGRN,-11.423875142149159,-11.70681306517787,-12.101042702848188
C1orf159,-10.8496761814564,-11.060430834627041,-11.103763399870976
SDF4,-10.071008382334725,-10.154412040987559,-10.102545899344546
B3GALT6,-11.201364336264223,-11.103239661999611,-11.0596473284507
UBE2J2,-10.405942775252624,-10.423578851121565,-10.376285684678415
ACAP3,-12.059008036955122,-11.773147074188394,-12.134093858856746
PUSL1,-11.85579167368838,-11.845891005737943,-12.103630479266933
INTS11,-10.923787446184244,-11.358150522603108,-11.244603471429699
CPTP,-12.622142484571112,-11.830014476568662,-12.50075369356449
DVL1,-12.248773148519,-12.827136286052017,-12.833917787701813
MXRA8,-11.164882404543727,-11.111535587036341,-11.438504475311108
AURKAIP1,-9.245682161078003,-9.482722436034333,-9.410944489201883
CCNL2,-9.166310791991384,-9.09840000467283,-9.616333059339127
MRPL20-AS1,-12.02560278350134,-11.79568124217375,-11.972281834726335
MRPL20,-8.952744207557949,-9.035187763640435,-9.086857974726797
VWA1,-12.482626202149667,-12.107666425462172,-13.030477498479485
ATAD3B,-12.305023736848721,-11.93065343262077,-12.479952956695934
ATAD3A,-11.335678686778932,-11.11570279174269,-11.629343105541395
TMEM240,-12.425964478485817,-11.900292996727533,-12.438531494506151
SSU72,-9.569731582951311,-9.46202901212126,-9.551908216119964
FNDC10,-12.117826146127697,-12.215939414862659,-11.903810150937222
ENSG00000272106,-11.722255558478611,-11.598919384416268,-11.710561715151554
MIB2,-11.389507235067436,-11.337821139932432,-11.71377646898603
MMP23B,-12.17769504674894,-11.892424686257288,-12.588611119881161
CDK11B,-10.360983770831206,-10.56794989706005,-10.564559572184717
SLC35E2B,-10.781052140086489,-10.397270313516913,-10.777567335650605
CDK11A,-10.719098930851853,-10.761881968189451,-10.907418615156807
ENSG00000290854,-11.559898727234721,-11.265903302068567,-11.871845031268103
