gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000241860,-0.9581891979183084,-0.8976533807177809,-1.178260565858114
ENSG00000291215,-0.7492497167207334,-0.4545496676661002,-0.7366789787934103
LINC01409,0.3605882802035439,0.5245604706975904,0.2049329539082478
LINC00115,-0.45640609742762817,-0.3866950174154233,-0.5646998175927891
LINC01128,-0.5171111761484717,-0.27884218022495944,-0.19374144280138597
SAMD11,0.1352278541863222,0.5156193652463621,0.019981345320086726
NOC2L,-0.6556891274963378,-0.5037920082321,-0.6052928193288594
HES4,0.5818304834552208,0.38135531310895127,0.572341748208494
ISG15,0.04644802526632933,-0.0825365318162206,-0.06943410999690867
AGRN,-0.6110356908553243,-0.515614294890714,-0.5353285286000542
C1orf159,0.2437568893934916,0.4369931677888274,0.14853089093575986
SDF4,-0.7275245798128758,-1.0310967218028715,-0.9352550638008595
B3GALT6,-0.7793841208864194,-0.9850243927023498,-0.5184736309118847
UBE2J2,-1.263050957417395,-0.7131486556770099,-0.7263930982057225
ACAP3,-1.2246423741926087,-0.7396678087659687,-0.35503768284029746
PUSL1,-0.4014891220288313,-0.9055231906391548,-0.13671719010604735
INTS11,-0.9646797139905913,-0.7257310764535134,-0.48722525139260864
CPTP,-1.0134477453030577,-0.5522152958051407,-0.8525363984327008
DVL1,-0.8750376015459018,-0.3092777939893203,-0.826690886240641
MXRA8,0.6427533309946725,0.5015605818655366,0.14713973448403897
AURKAIP1,-0.6228934937369601,-1.0757957988677411,-0.929820206738956
CCNL2,-0.641782612314202,-0.653530469699838,-0.3968743752983706
MRPL20-AS1,-0.6675199104135531,-0.5346274006307256,-0.6279987266771238
MRPL20,-0.7160161465373207,-0.8420250208534341,-1.05024937756232
VWA1,-0.27371931224237406,-0.4571437950098627,-0.832806576782442
ATAD3B,-0.7334683376109759,-0.5634930517391687,-0.477753137623715
ATAD3A,-0.8091090563333836,-0.7268938013978143,-0.4596949783837233
TMEM240,-0.483792932039151,-1.0398403952920212,-0.6134259055079526
SSU72,-0.8273517918557864,-0.9256460557154114,-1.0886599370599512
FNDC10,-0.7365683906253437,-0.2606545173274562,-0.5022902587770305
ENSG00000272106,-0.572827096832782,-0.8734198950285936,-0.5862903436358096
MIB2,-0.5881256094067062,-0.6021655738002919,-0.6686103353423292
CDK11B,-0.697613503131219,-0.9195419511998928,-0.5443844609069367
SLC35E2B,-0.3805091367773023,-0.4193927402712313,-0.7882219430038049
CDK11A,-0.6264534164510351,-0.7526473075351241,-0.36305096554455224
