gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.876233728462418,-12.268352898038305,-12.746974274616695
LINC01409,-12.072068855053411,-12.01181835357283,-12.131335976222685
ENSG00000290784,-13.062176723312207,-12.903248237069448,-13.195298835492599
LINC00115,-12.394903484180844,-12.435896214156859,-12.523918721565623
LINC01128,-10.48675523332355,-10.596245840480943,-10.669061788009751
SAMD11,-11.96871277819405,-12.146759770783992,-11.878923399982778
NOC2L,-10.310893398043833,-10.49002923830751,-10.492545061332354
HES4,-10.673620378072284,-10.731667800609234,-11.6084269942877
ISG15,-11.279841091562446,-11.227368296557005,-11.083360122996357
AGRN,-11.66453500005853,-11.616242200886532,-12.1540725961087
C1orf159,-10.918356475995424,-11.074470452174912,-11.16000181604143
SDF4,-10.002025727452345,-10.149923533411782,-10.173558041920849
B3GALT6,-11.11497142868673,-11.20802965659851,-11.305459372797234
UBE2J2,-10.349583066417974,-10.459554960115755,-10.454341510079894
ACAP3,-11.901725143250538,-11.99178122152543,-12.138883129325572
PUSL1,-11.989918162310833,-12.066222667973319,-12.17258400483008
INTS11,-10.988212574179995,-11.21864226410403,-11.168917127567015
CPTP,-12.295553002825896,-12.362313490813147,-12.299635226122984
DVL1,-12.414207194633962,-12.697856700001934,-12.546788983135807
MXRA8,-11.53794280377606,-11.224915666348204,-11.67518664008623
AURKAIP1,-9.329027029650476,-9.433840101747068,-9.398943042185918
CCNL2,-9.242294500025768,-9.234113120175659,-9.548538694890413
MRPL20-AS1,-11.986483538298861,-11.919840235089037,-12.070633707648696
MRPL20,-8.98642819013432,-9.099603817442677,-9.10445710462061
VWA1,-12.334422479223491,-12.560644610833984,-12.905981122290564
ATAD3B,-12.044053639484833,-12.060970409622758,-12.090165268001423
ATAD3A,-11.32403920485488,-11.426448887005334,-11.583283346456735
TMEM240,-12.60451763497931,-12.60168922608459,-12.733804438924732
SSU72,-9.505842763129923,-9.517799148886509,-9.596062939146474
FNDC10,-11.97285988250549,-11.935974359162097,-12.480036200947405
ENSG00000272106,-11.437721191688405,-11.5596854195529,-11.56201632093377
MIB2,-11.26298321095261,-11.364063642527661,-11.387096306322448
MMP23B,-11.864897349651134,-11.983288107480668,-13.15791902652695
CDK11B,-10.419647601746957,-10.603206300230514,-10.56894306349343
SLC35E2B,-10.507441583400638,-10.458436902174608,-10.637658258085487
CDK11A,-10.691387844737877,-10.825359269978364,-10.915379905487493
ENSG00000290854,-11.467762756859209,-11.428683582603599,-11.688909950113015
NADK,-11.321393512584846,-11.339775966714093,-11.40067893200062
GNB1,-8.74098298712512,-8.850346779335911,-8.93331642742156
PRKCZ,-10.947132404644469,-11.028987954797879,-11.04686318551323
FAAP20,-9.81873138630786,-10.036643920397431,-9.945430255410223
SKI,-10.589426716207287,-10.613620107485199,-10.766192959413866
MORN1,-11.640918444274837,-11.623744180868963,-11.825469013731654
RER1,-10.243095531948327,-10.281910484344763,-10.365437853200469
PEX10,-11.534681541026714,-11.645547704188331,-11.568911471008693
PANK4,-12.253573410185995,-12.279801956575794,-12.136809434767777
PRXL2B,-12.231683472911225,-12.190027050746234,-12.077289427991255
PRDM16-DT,-11.329761147994633,-11.981858987031329,-11.520336729941267
PRDM16,-9.317326591740917,-9.612657920845278,-9.410692462648148
MEGF6,-12.282338515298688,-12.542006391702548,-12.655384904218815
TPRG1L,-11.100198028227384,-11.217289599639265,-11.227690553247655
WRAP73,-11.694015592053475,-11.780255822195448,-11.717967749949015
SMIM1,-11.745548373342919,-11.759447418597034,-11.575405767399173
LRRC47,-10.350608114345176,-10.486193571969604,-10.456540717733272
CEP104,-10.562446266957647,-10.534486089531688,-10.600874152631123
DFFB,-12.108937701612883,-12.195421146625051,-12.234096636779476
C1orf174,-11.29610425971621,-11.325840227738533,-11.362786042889512
NPHP4,-11.254101553991482,-11.358848149636716,-11.131297932997436
KCNAB2,-12.534762173944086,-12.714277208710604,-12.146745470987971
RPL22,-7.145990862406034,-7.3288483656895576,-7.306780698769671
RNF207,-9.936706220190752,-9.57547792695121,-9.818451481148339
ICMT,-10.436672581945173,-10.525693377599929,-10.657519292273683
GPR153,-12.677316979236462,-12.310270748564834,-12.32684349235467
ACOT7,-11.514176299065104,-11.792293532943496,-11.737612283761793
PLEKHG5,-12.128154029400932,-12.077910207988104,-12.303949843663627
NOL9,-10.210856241233476,-10.283393199369373,-10.390438908851987
ZBTB48,-11.92898943029075,-12.023033965745492,-12.223489298653512
KLHL21,-10.50682419271736,-10.458514141023489,-10.866550946548891
PHF13,-10.29030484955583,-10.22613527894726,-10.618129897778589
THAP3,-11.45309168667733,-11.571057544324143,-11.486935706503834
DNAJC11,-9.977468342475351,-10.071965174445543,-10.144251654090187
CAMTA1,-8.292806991028833,-8.2080995612436,-8.171756788871425
VAMP3,-9.981688684296804,-9.90261065934412,-10.094643141290693
PER3,-11.369734943647424,-11.096884857505783,-11.093241301200905
PARK7,-8.49924717019471,-8.643065714457691,-8.574126671765857
ERRFI1,-11.063218691133063,-11.122799432948524,-11.110127485897614
RERE,-7.468977184610399,-7.512664600589777,-7.674496149618278
ENO1,-7.180096035331926,-7.526234309402004,-6.804849211194281
GPR157,-11.788781018081055,-11.470828643873045,-11.842379972243602
MIR34AHG,-12.361830926188542,-12.473839197067239,-12.801951950310857
H6PD,-10.955529517727951,-10.926576066901717,-11.339074010658962
SLC25A33,-10.724722457595089,-10.649338786853988,-10.818486803651696
TMEM201,-12.328320640173244,-12.441202361163537,-12.405284681620124
PIK3CD,-12.83806678552047,-12.903596079538609,-12.906625582819855
PIK3CD-AS2,-12.226521056863321,-12.63617751897936,-12.072948820009522
CLSTN1,-10.041816015041858,-9.901534286076627,-10.292840069475599
CTNNBIP1,-10.00941365366855,-9.99079071287136,-10.128680250139498
LZIC,-9.470149888976774,-9.501557980826018,-9.478310991999798
NMNAT1,-10.952832188022803,-10.94619399057571,-10.913857208386842
UBE4B,-9.13081250685189,-9.076988480418994,-9.480114757020237
KIF1B,-8.50588087192749,-8.502908905183936,-8.776657432322768
PGD,-9.601046567261086,-9.727544713021878,-9.816707456321533
CENPS,-11.161228205209456,-11.38170727199708,-11.38400526437649
DFFA,-9.754414643988403,-9.929506041526725,-9.8680001737234
PEX14,-9.88539535063284,-9.917547027244195,-10.068438964772085
CASZ1,-9.029759940012385,-9.08709600665241,-9.232391218416748
TARDBP,-9.388397239380287,-9.446326041723335,-9.543033527974686
SRM,-9.984583348666396,-10.174947797006618,-10.1802554461029
EXOSC10,-9.779479255936813,-9.811035619404876,-9.920102817205803
MTOR,-9.904400305566915,-9.914656595755924,-9.991192440242864
UBIAD1,-11.226564734431943,-11.218750735444528,-11.310253355409554
FBXO2,-12.3565573684047,-12.331077748168658,-12.149180406019822
FBXO44,-11.820325578040219,-11.937199795932155,-11.580514482070294
MAD2L2,-10.89651417796472,-11.15931208145714,-10.599457775263208
FBXO6,-13.163091067159367,-13.219244144320571,-13.010482702708073
AGTRAP,-10.978800377222086,-11.031724861993274,-10.711426294686419
MTHFR,-10.533227625742157,-10.492425480608492,-10.714813742040453
CLCN6,-10.740922359814006,-10.770515452988313,-10.966678912762733
NPPA,-8.56326380097155,-8.458613429516475,-8.022283890899153
NPPB,-10.043674940681072,-9.997980691061061,-9.91137613587851
KIAA2013,-10.853126031720874,-10.96306270685359,-11.028522860212286
PLOD1,-10.604651188728697,-10.7712201294391,-10.592235882976917
MFN2,-10.176967442601349,-10.251680157078551,-10.42362377927129
MIIP,-12.417062021505302,-12.448051256599259,-12.54713971583481
VPS13D,-9.210541661156695,-9.390127045622116,-9.421841777344042
DHRS3,-10.54763364833941,-11.116623862592853,-11.412732713919299
PDPN,-12.521946153829704,-12.552726199773023,-11.657082814004207
PRDM2,-9.589915968055728,-9.586524420139162,-9.675396966985367
KAZN,-8.333299287017185,-8.253203136406736,-8.523921162392993
TMEM51-AS1,-11.514506583431587,-11.694899270984441,-11.017192154563595
TMEM51,-10.11671360981401,-10.48999094730411,-10.226486925446743
FHAD1,-11.73641099671805,-11.89242423358513,-11.55835610302838
EFHD2,-11.602146085853235,-11.75465041426561,-11.173269744313144
CASP9,-11.109349959507167,-11.22289382181289,-11.01064757354652
DNAJC16,-10.152394198247,-10.106481372762754,-10.301430535864151
DDI2,-10.198250554613127,-10.196938323589396,-10.21976672025164
PLEKHM2,-9.888698478981823,-9.8639573943078,-10.107933425957883
FBLIM1,-10.016207364843273,-10.141707858860897,-10.207325358924498
UQCRHL,-12.058581279171229,-12.112638081788635,-12.008814855941276
SPEN-AS1,-11.129078504174858,-11.064001807921887,-11.022558495479549
SPEN,-9.15680849434575,-9.151481074755665,-9.34717502248096
ZBTB17,-11.714689663973157,-11.754144088785758,-11.967877501857986
HSPB7,-8.652813370872492,-8.840141311641831,-8.627481490050004
CLCNKA,-13.222439630352964,-12.970171191059292,-12.968796774513324
CLCNKB,-12.842586852626155,-13.168150383926694,-12.839699258874955
EPHA2,-12.164955904171832,-12.161705286220796,-12.597982623464167
FBXO42,-9.828527056552353,-10.033044367602379,-10.037448099422079
SZRD1,-10.10681284276362,-10.182607832619215,-10.271609655485957
NECAP2,-11.163918277109218,-11.271466619724741,-11.267788293733771
CROCCP3,-10.479504107189943,-10.45991863633472,-10.619338729674448
NBPF1,-10.343705404159147,-10.131190413069248,-10.315206356317843
CROCCP2,-10.86156429128836,-10.615621029506551,-11.144666706521713
CROCC,-11.244447386422003,-11.607990561166485,-10.854609185426062
ENSG00000238142,-12.166899888949155,-13.044429013114225,-11.794896474540154
MFAP2,-10.329351874917663,-10.375462901772416,-10.801457017331758
ATP13A2,-11.901574082914735,-12.021664662388261,-12.05590074694402
SDHB,-9.724464884358424,-9.856111694286238,-9.816684057174932
RCC2,-9.990080996648652,-10.154887478497317,-10.20051068974744
ARHGEF10L,-11.037773302492937,-11.054881817892571,-11.14637170239231
ALDH4A1,-11.155802179853296,-11.050757134876442,-11.082101093539622
IFFO2,-12.82400197049121,-12.674441298565144,-12.63219727444499
UBR4,-8.838766525115371,-8.95578251171856,-9.034522978192216
EMC1-AS1,-11.271513914749427,-11.291832907234076,-11.10952314454732
EMC1,-11.012710037856241,-11.103218584836613,-11.263659382123882
MRTO4,-10.293978637392858,-10.520707176758682,-10.427027478149839
AKR7A2,-10.066380641176789,-10.252589935118712,-10.173522106180966
SLC66A1,-12.035345303708572,-12.107854099026573,-12.141104847440168
CAPZB,-8.577683875754937,-8.651463227311968,-8.754713360519764
MICOS10,-8.582712729124207,-8.769878261738558,-8.624859269624878
OTUD3,-11.145274764910775,-11.247281015750348,-11.150921435100699
CAMK2N1,-12.44486503148413,-12.335288185366096,-12.505864674142574
MUL1,-11.392055366990496,-11.49474041346568,-11.352086316567979
PINK1,-10.471258706283974,-10.58568927811134,-10.55128573650825
PINK1-AS,-12.606166377103786,-12.558530421006177,-12.960815541627758
DDOST,-9.310250731761133,-9.444920920473212,-9.63046638154005
