gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000290385,-0.9377422624415815,-0.7933202344549635,-0.8301531148343457
ENSG00000291215,-0.7404835247225954,-0.1784803258192298,-1.1605414426290857
LINC01409,0.6287270226943988,0.5055876965771233,-0.13692963993254284
ENSG00000290784,-0.7817505561402953,-0.8513508176863668,-0.48115660690963935
LINC00115,-0.8684741936722311,-0.743904044267012,-0.7601083606990819
LINC01128,-0.7967255076662951,-0.24481922746610965,-0.28841942246591407
SAMD11,0.003124627287999053,0.6883981011309251,-0.21249397211801835
NOC2L,-0.7616543784246553,-0.9230166912033511,-0.8265713571333286
HES4,0.8784793102167825,0.14098472977633483,0.6542514836637707
ISG15,-0.35221680280804074,0.05508043418567246,-0.659468388244818
AGRN,-0.9190341865280908,-0.8339435416752501,-1.141274149828721
C1orf159,-0.06713811110899214,0.032516929851325815,0.12639337795324931
SDF4,-0.6953007046689841,-0.8964242428526141,-0.5177629683652966
B3GALT6,-0.6941992102989545,-0.5842686128422585,-0.478499454631347
UBE2J2,-0.8275315733414921,-1.0029002249816976,-0.6924901027711989
ACAP3,-0.8819584654778723,-0.6983980100352767,-0.5151387129823171
PUSL1,-0.457454534747491,-0.7865800167377444,-0.5870581489339878
INTS11,-0.9305501908079385,-0.6906535390967399,-0.42746122830570954
CPTP,-0.6128334903252437,-0.6583268860815606,-0.6702795740339625
DVL1,-0.8958980837020611,-0.5666910791463308,-0.9621804234699489
MXRA8,0.8990975080585174,0.5128088651763143,0.08967018762159984
AURKAIP1,-0.5102577881317565,-0.7710653687171636,-0.8773001398120854
CCNL2,-0.5071360329118875,-0.6069181918154883,-0.56065148528511
MRPL20-AS1,-0.9457152145543262,-0.6688875021560606,-0.4880317537304677
MRPL20,-0.6533817468998606,-0.8128131331206311,-0.7299886682611003
VWA1,-0.7946721969579755,-0.42329387394083184,-0.26441098723067213
ATAD3B,-0.636587298418867,-0.37653346863628206,-0.2692619896726036
ATAD3A,-0.8254396420126291,-0.5048250578710558,-0.6081109079113851
TMEM240,-0.6639044826902492,-0.26292553772361765,-0.16058350683503522
SSU72,-0.9196752998794651,-0.9175552146228689,-0.664060498884197
FNDC10,-0.18199695798245236,-0.24773495544894072,-0.27654402544319373
ENSG00000272106,-0.36465248934715083,-0.44145113040523054,-0.869147484932391
MIB2,-1.1686489950919317,-0.8557781827874464,-0.15724855029873908
MMP23B,0.1663889646141108,0.4280008973475801,0.6495936949878676
CDK11B,-0.6021506690294204,-0.7895499435425394,-0.3284821074649465
SLC35E2B,-0.5022534607958988,-0.6703535186218872,-0.5273346105011248
CDK11A,-0.7497628442043265,-0.38535641846290863,-0.4897525390751376
ENSG00000290854,-0.7889245964473552,-0.38778200523792006,-0.6449922829034058
NADK,-0.693501206143349,-0.747295521149212,-0.3756060042978788
GNB1,-0.42971033589644136,-0.6047635330915533,-0.3909645782859635
PRKCZ,-0.6941814331819494,-0.4981057428598134,-0.5311949847542223
FAAP20,-0.8503590540410464,-0.4878348578558551,-0.6593992544479725
SKI,-0.47985415997140274,-0.24504765924981695,-0.5000225467448658
MORN1,-0.5671619383158307,-0.29928699291061633,-0.3290963905581492
RER1,-0.9506228509507189,-0.9010415561543644,-0.5296509505049976
PEX10,-0.9096670507885243,-0.7107555202331675,-0.835767078958483
PANK4,-0.8727328581788214,-0.4284867698827064,-0.6387563851261114
PRXL2B,-0.969422876559694,-0.5456093940686735,-0.9558461325031685
PRDM16-DT,0.3462062282075315,0.12239143128041627,0.838958942819275
PRDM16,1.1298021944675511,1.2577505024438977,1.0022333381640358
MEGF6,-0.7573809663095901,-0.4584267131280555,-0.5599196420238427
TPRG1L,-0.6466560144001257,-0.36267495131459887,-0.3447528054618019
WRAP73,-0.8974432834061226,-0.6466887145805984,-0.8959788428034977
SMIM1,-0.4393487710771602,-0.6747542841860009,-0.07729302394326963
LRRC47,-0.7749432118550885,-0.7075996915758758,-0.4207818664385208
CEP104,-0.2503860639677491,-0.28094644814560615,-0.5355829508232404
DFFB,-0.4872847313908473,-0.9147507992273347,-0.010111489238134643
C1orf174,-0.6672123669768659,-0.2980330258816544,-0.3784225519288498
NPHP4,0.43938273312737053,0.6891624518511676,0.5726496269913035
KCNAB2,0.1957002932240464,-0.580752717134409,-0.24389064034814467
RPL22,-0.505144083044904,-0.25975658650165917,-0.3241637418329049
RNF207,-0.12659991182312433,-0.15073102768064214,-0.19364730857981624
ICMT,-0.12255988182521448,-0.7615592641636475,-0.392314235013334
GPR153,-0.44809989338995854,-0.4633773168829194,-0.48809793711141936
ACOT7,0.2912775779671613,0.023187889624662093,0.12135820668246217
PLEKHG5,0.09381715577306683,-0.10192270798638603,-0.978982378801394
NOL9,-0.5659028206222452,-0.618626950255667,-0.5214039091987958
ZBTB48,-0.49732613178622037,-0.7730806053458429,-0.4560097254525246
KLHL21,-0.15538879667540326,-0.3325976110063209,-0.3514047455630021
PHF13,-0.26526494442391174,-0.36451749376222864,-0.1864536744781375
THAP3,-0.8218935776529896,-0.49366999639620346,-0.4375395101579471
DNAJC11,-0.7077176550174471,-0.38673031952951925,-0.7654594359457754
CAMTA1,-0.7340097908222596,-0.6191203904488704,-0.6906779508791381
VAMP3,-0.6114953373000915,-0.44393945759989967,-0.5048085233851332
PER3,0.7616781764930174,0.5732136462345601,0.39861443434459437
PARK7,-0.3739143425198926,-0.6469632586682722,-0.33441337008260413
ERRFI1,0.1647941951576151,-0.23011348185070096,0.43387056133719776
RERE,-0.10866114439322057,-0.21349042541817556,-0.343129512934862
ENO1,0.5526589221428679,0.7043001439764254,0.81353362577598
GPR157,0.18942673126070983,0.15679599052869267,-0.0004475728069053246
MIR34AHG,0.42627077157106547,0.9210765097724584,0.27693589898417054
H6PD,-0.08485425081472185,-0.3098203445092729,-0.23069918234700987
SLC25A33,-0.4465580733923958,-0.07016185373750268,-0.4474548375376592
TMEM201,-0.2801869661261272,-0.342432189240995,-0.18928091491635257
PIK3CD,-0.19700035100529695,-0.11857956786047902,-0.11896216308988634
PIK3CD-AS2,-0.33572395075078987,-0.4987029117017664,-0.5325731446129538
CLSTN1,-0.24207788287791138,-0.6225074526010631,-0.44519488546185565
CTNNBIP1,-1.131774874228931,-0.37227764293299265,-0.8595613143945791
LZIC,-0.4883035698441703,-0.17351003382710667,-0.33335174417710794
NMNAT1,-0.2537143760398664,-0.19959394397747587,-0.5782351871264703
UBE4B,-0.12264016895017353,-0.062184281529820085,0.023346769756006566
KIF1B,-0.060772864467445245,-0.12065133873989713,-0.2164699039711735
PGD,-0.6683598648886182,-0.6012346813373596,-0.6854457289766493
CENPS,-0.4339135321238529,-0.2862129851263653,-0.32229908879713065
DFFA,-0.23385825091702725,-0.48689223468185,-0.05244156884631582
PEX14,-0.040700515553318446,-0.1964427025958991,-0.0682861418643874
CASZ1,0.033731084549511826,-0.17066614416408052,-0.017007229080551464
TARDBP,-0.6187746815584417,-0.705686723831537,-0.9207414012141086
SRM,-0.3103279992035049,-0.5200814217365881,-0.1433210730342687
EXOSC10,-0.4744623221416617,-0.4948026029410606,-0.41603278901110835
MTOR,-0.42953086619770536,-0.4948312502488825,-0.2848083540541851
UBIAD1,-0.3359191003303792,-0.6867970451863562,-0.4726295764664386
FBXO2,-0.21494665362283888,0.30940984356962176,0.5711857755533849
FBXO44,-0.5836474556834403,-0.7462332588782097,-0.22163261383696314
MAD2L2,-0.6427496025226915,-0.5885045098757403,-0.006032818306092439
FBXO6,-0.09544314305133379,-0.5456029638039118,-0.515262051354256
AGTRAP,-0.6512585593173448,-0.7203406988363845,-0.6864390119272734
MTHFR,0.041857914348010956,-0.18494351215495194,-0.06068574922458582
CLCN6,-0.3290817160454545,-0.5030482143400549,-0.46197036372339534
NPPA,3.6337926634138284,3.473368629931201,3.702854421774388
NPPB,3.9357269634756946,4.922657871014598,5.552922680395895
KIAA2013,-0.5833635137550779,-1.0390750450861148,-1.0327239021903871
PLOD1,-0.10106204785055437,-0.10393283240196634,-0.22236607232034797
MFN2,-0.4605342572723004,-0.35388098135130625,-0.5219765881410937
MIIP,-0.8891440253204976,-0.4591819654114886,-0.7681387591703235
VPS13D,0.6417103639570207,0.06950888405274473,0.14783366809131243
DHRS3,0.7980603665595963,0.8383828114182704,0.8742004660662168
PDPN,0.03396703519211995,1.0618054384339715,1.3194922407513836
PRDM2,-0.6332951371511478,-0.4914347601275786,-0.2527944783485019
KAZN,0.6487330668763569,0.7598076526188356,0.5773244874848409
TMEM51-AS1,-0.023571501614380732,0.37268155519856805,0.053623136273557824
TMEM51,0.8240810300024747,0.583861757022575,0.10212956591910324
FHAD1,0.5343360444370795,0.7428999331660365,0.5732272609847903
EFHD2,-0.1773095148065806,-0.25496458358140117,0.3764906425405208
CASP9,-0.4226596034830621,-0.11677060819636509,-0.17884620676956337
DNAJC16,-0.4251665671915425,-0.6483351352748131,-0.35440858673723946
DDI2,-0.32742923263739243,-0.2097579682613393,-0.24136289987818677
PLEKHM2,-0.49076541107166344,-0.610355095561996,-0.568676169169656
FBLIM1,-0.22769178315306604,-0.21388764949192668,-0.11839656906482432
UQCRHL,-0.47285900331869973,-0.7904436943692694,-0.7555206889902202
SPEN-AS1,-1.0161571143013042,-0.4986198387543794,-0.7338355287370177
SPEN,-0.33124516560800643,-0.5028475654193229,-0.28537349630804343
ZBTB17,-0.6136539685703788,-0.6322800978290424,-0.5782952185631451
HSPB7,0.16718761430269788,0.3199873806851662,0.2677740601042516
CLCNKA,-0.8873890359712427,-0.19374135209698556,-0.9250670284655733
CLCNKB,-0.4075380703389406,-0.605052873664448,-0.972632955935186
EPHA2,-0.13057482880083168,-0.39767433772931676,-0.5483064569373611
FBXO42,-0.07921524684146423,0.13641822902184578,-0.12754347105407152
SZRD1,-0.8577281796595102,-0.5491033296379122,-1.0609678612079776
NECAP2,-0.4156362267965896,-0.7318526618391098,-0.577098273122143
CROCCP3,-0.452120167672792,-0.36670646727716166,-0.17911880237131683
NBPF1,-0.5930897749882719,-0.5603199148880159,-1.010007130728276
CROCCP2,-0.5434609551079994,-0.8251012584544029,-0.1763651681439065
CROCC,-0.04300451067486221,-0.2118516408559081,0.009859608076254802
ENSG00000238142,-0.36587289930179523,-0.08160347564134088,-0.14225611662747542
MFAP2,0.3464282239491005,0.55580094828791,0.6694502444108288
ATP13A2,-0.36150620419565976,-0.8070477531168798,-0.7377948676008508
SDHB,-0.6263296315064508,-0.5424876454399196,-0.40536438959148313
RCC2,-0.38346626972083087,-0.2993778494946718,-0.5475792886830425
ARHGEF10L,-0.2998740783945379,-0.1513941260662151,-0.15570315499923032
ALDH4A1,-0.7287063909497213,-0.6792060860349807,-0.7443428612029237
IFFO2,-0.36020123413319644,-0.14737175955769286,0.2457047385552755
UBR4,0.12469215633484144,0.19989752531919075,0.29411808019908386
EMC1-AS1,0.41664737866901547,0.2622841822889193,0.10270216870965505
EMC1,-0.6508285640711939,-0.7342690666009979,-1.0552191429275126
MRTO4,-0.34633025558358105,-0.5640107265263766,-0.4200456724427326
AKR7A2,-0.4254464653506141,-0.6854751470653896,-0.6086223079266517
SLC66A1,-0.7565196501033249,-0.9268893992381492,-0.23404505449406085
CAPZB,-0.9218874659655718,-0.7487399890922326,-0.8092764242902959
MICOS10,-0.16439953638677807,-0.2902822550158924,-0.14968678187607765
OTUD3,-0.24556043224147214,-0.29388790029281603,0.17803557468597828
CAMK2N1,1.014068482206806,0.3378342778715436,1.1340976877268396
MUL1,-0.5925583208085712,-0.9363654291687561,-0.752779869119898
PINK1,-0.48505407713953375,-0.7707883891289242,-0.4784081556598281
PINK1-AS,-0.7414556863734951,-0.7915384100166847,-0.3501422945898796
DDOST,-0.7412349856952325,-0.7385095231654084,-1.1424117512251826
HP1BP3,0.15790352086374074,-0.04397184774691354,-0.16600171118144397
EIF4G3,-0.19843464207000497,-0.09004157503170165,-0.15303588954352426
ECE1,-0.062448081571126544,0.19125906612444865,0.21325749046020442
NBPF3,-0.37113363957129064,-0.2869105767160605,-0.2363494346033122
USP48,-0.6958948110689356,-0.5309369418455319,-0.6149909168443167
HSPG2,0.30982581269720555,-0.042308531116507425,0.22086001197409286
LINC00339,-0.5059340990489218,-0.2525492010465662,-0.6630148892545051
CDC42,-0.6070811306066162,-0.6287398141837883,-0.7135317564650769
ZBTB40,0.19836776746675255,-0.09004621956258417,0.37170183645761057
EPHB2,0.8817594089657561,1.061151239453661,0.954776913219046
KDM1A,-0.4718470116121445,-0.4340904723488244,-0.6307005053812774
ENSG00000240553,-0.6170336658481617,-0.9190160907000724,-0.30372497977316476
LUZP1,-0.08198067314173946,-0.35888898721812634,-0.14047615752455658
LINC01355,-0.18447257030891248,-0.0006806644186134389,-0.30801629229273075
HNRNPR,-0.3825220387317004,-0.5218706298398992,-0.37211147487809276
ZNF436,-0.2091909811310941,0.027755851613292765,-0.19866844930884403
ZNF436-AS1,-0.21123356598025825,-0.4091243751275826,0.0874655571364257
TCEA3,0.18799806410537556,0.5155928220359485,0.11834982678655943
ASAP3,-0.15273305318592278,0.00816371389471367,-0.19725068102014018
ID3,0.9872198793093715,0.9980703282250971,0.8128066475249085
RPL11,-0.3980486003594077,-0.17537389170342083,0.005829571028796003
ELOA-AS1,-0.05293337050951766,0.05830524465181952,-0.06108478942395479
ELOA,-0.457234148982451,-0.62539699489097,-0.43002807534241677
PITHD1,-0.6846494127429956,-0.9798776138227119,-0.41330416464842307
LYPLA2,-0.5885383008830659,-0.47260700935368044,-0.3571128364688718
GALE,-0.28400888793876433,-0.5161189389357581,-0.23446404900446177
HMGCL,-0.8426464038107895,-0.6126496548344386,-0.5116029063095091
