gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-12.810380660698803,-12.252372925210251,-12.709216797208274
LINC01409,-12.124307390157323,-11.998336673704516,-12.117392049424785
ENSG00000290784,-13.047716489863316,-12.903893314447245,-13.180223941099865
LINC00115,-12.339067394651332,-12.422708350773556,-12.50002771434989
LINC01128,-10.490024593085545,-10.563843677901428,-10.644379860242575
SAMD11,-11.946132229784611,-12.123214421130523,-11.857469529030602
NOC2L,-10.300193681979268,-10.471176983381866,-10.482726265827797
HES4,-10.661735529966991,-10.697151123400687,-11.590783590127028
ISG15,-11.273997895171947,-11.19925781771347,-11.061569459684515
AGRN,-11.669036642007896,-11.591914895241878,-12.131864582832126
C1orf159,-10.931461383517425,-11.055664116804856,-11.143614137328834
SDF4,-9.97468110111458,-10.138818532508271,-10.153820441871988
B3GALT6,-11.099101816810172,-11.171453525380976,-11.283054279347088
UBE2J2,-10.335877734171161,-10.431733748180234,-10.440919440257977
ACAP3,-11.927908227414347,-12.008855669297937,-12.113127236395998
PUSL1,-11.994019886102075,-12.047875172540088,-12.159528197647305
INTS11,-10.949995859790375,-11.21643050148477,-11.143207957785439
CPTP,-12.29804115462333,-12.334223965801765,-12.27651074922847
DVL1,-12.338729796683046,-12.674587703800189,-12.51576925997015
MXRA8,-11.501440462068981,-11.172557472466698,-11.665708948185886
AURKAIP1,-9.310299834889767,-9.427278596510538,-9.382780223691713
CCNL2,-9.222062526949253,-9.21870030452804,-9.523119657285251
MRPL20-AS1,-11.981443617171639,-11.929972380138457,-12.058690752052467
MRPL20,-8.968714731073128,-9.084831111920293,-9.086856892295797
VWA1,-12.349250330124777,-12.56740370681461,-12.869791206395314
ATAD3B,-12.025779251165904,-12.040452669025889,-12.065025796666244
ATAD3A,-11.298913929100193,-11.418525316440771,-11.558752523396544
TMEM240,-12.587482625881892,-12.549596872540624,-12.724409667760801
SSU72,-9.492969717598358,-9.503641193685901,-9.57266232628573
FNDC10,-11.919953245570133,-11.917058247370003,-12.472099072691359
ENSG00000272106,-11.422567309811681,-11.531026064107934,-11.550744014803929
MIB2,-11.25603615751302,-11.354474317350514,-11.372449231834468
MMP23B,-11.837584972484892,-11.9572327288783,-13.130030458372048
CDK11B,-10.411530640290755,-10.607807987940582,-10.548983646991681
SLC35E2B,-10.482582819704042,-10.445909688091614,-10.615189523792056
CDK11A,-10.686193426212153,-10.81511182304754,-10.900227079131758
ENSG00000290854,-11.45482906535977,-11.411965493797902,-11.673791726550448
NADK,-11.304413233468354,-11.315743249755567,-11.386890944072016
GNB1,-8.719728356281948,-8.834110722926653,-8.912990572407738
PRKCZ,-10.94227688258576,-11.034729897396767,-11.034597378665351
FAAP20,-9.801306239304841,-10.024958323749521,-9.925933908592178
SKI,-10.58037724401886,-10.60011414095123,-10.753372667462731
MORN1,-11.618955658604731,-11.597556042089,-11.808308024264061
RER1,-10.222827499034887,-10.277555786482154,-10.353085860867271
PEX10,-11.50458546056263,-11.631079294496924,-11.551092849162165
PANK4,-12.198379233369272,-12.259222995375413,-12.117282496855564
PRXL2B,-12.22777109003215,-12.202177088532826,-12.058809221514405
PRDM16-DT,-11.348321051967737,-11.954748057838371,-11.504982377557823
PRDM16,-9.326279504159574,-9.603169813821342,-9.391409982907472
MEGF6,-12.264759937475036,-12.488813829272564,-12.638439709602638
TPRG1L,-11.119302250815295,-11.190246943892951,-11.202982960598174
WRAP73,-11.673311081631857,-11.788109688242372,-11.68630830028303
SMIM1,-11.714291850570804,-11.72838732491638,-11.564730031424128
LRRC47,-10.346297234148647,-10.460582090660683,-10.432654807193673
CEP104,-10.540484379840358,-10.51519156738105,-10.583191237907444
DFFB,-12.092800329023007,-12.165840516168387,-12.191489574268578
C1orf174,-11.28983345002843,-11.338104587855144,-11.33414652793785
