gene,NA19099_Cardiomyocytes,NA18522_Cardiomyocytes,NA19093_Cardiomyocytes
ENSG00000291215,-0.753863678281359,-0.7926426265930822,-0.8982906706348645
LINC01409,0.4370808873292802,0.3119920374556279,0.16370387713918427
ENSG00000290784,-0.7873904692079599,-0.9384594874866998,-0.6569807740539736
LINC00115,-0.6770654409341147,-0.5935263436319679,-0.6150431059135322
LINC01128,-0.39137865372101643,-0.347839763079179,-0.3319911112562473
SAMD11,0.1292328749721285,0.4111972656477363,0.06423417831007684
NOC2L,-0.6891929856241212,-0.6530565325352599,-0.6667889186609594
HES4,0.6424261449280556,0.4843455293198496,0.4972156151456914
ISG15,-0.06716482995609147,0.007297960339716491,0.5869274328928462
AGRN,-0.6163590857113802,-0.5344786673378755,-0.6489929247988613
C1orf159,0.1800428682643442,0.28827143672421235,0.1679359282648179
SDF4,-0.7302792475249156,-0.6869320992359143,-0.7323984085834568
B3GALT6,-0.779542003811013,-0.6734142226587636,-0.6592826113893153
UBE2J2,-0.8679897961833589,-0.8279906442605345,-0.6822015257174314
ACAP3,-0.6565441707901485,-0.6927376396355348,-0.5312841391237946
PUSL1,-0.6043543335058565,-0.5910953603077936,-0.4581271371646131
INTS11,-0.7887903463144142,-0.7619601643239236,-0.7039582798137971
CPTP,-0.7414273580677708,-0.7468833976360116,-0.7091325774513386
DVL1,-0.8038758279766114,-0.7238601943467984,-0.7885200605905993
MXRA8,0.6137336478907898,0.5080604900882975,0.0958004957759328
AURKAIP1,-0.5890867857630439,-0.6766302727662428,-0.6968283513108098
CCNL2,-0.43158492477760646,-0.5314956010767204,-0.6684955219307048
MRPL20-AS1,-0.7042761720011299,-0.7037043903548756,-0.6264868543726223
MRPL20,-0.756150144674514,-0.7338781552679521,-0.6910884910532574
VWA1,-0.628967231843177,-0.6002533674656475,-0.7790518215663909
ATAD3B,-0.635567602471319,-0.7074131141974469,-0.5371493285815241
ATAD3A,-0.582973105867346,-0.5553722399974318,-0.5744225456938636
TMEM240,-0.7571313454986424,-0.7600678963576755,-0.6018555131601886
