cell_type,depth,replicate,seed,n_cells,n_individuals,status,n_genes,error
Cardiomyocytes,100,0,42.0,300,3,success,13233,
Cardiomyocytes,100,1,43.0,300,3,success,13228,
Cardiomyocytes,100,2,44.0,300,3,success,13073,
Cardiomyocytes,100,3,45.0,300,3,success,13101,
Cardiomyocytes,100,4,46.0,300,3,success,13224,
Cardiomyocytes,100,5,47.0,300,3,success,13243,
Cardiomyocytes,100,6,48.0,300,3,success,13124,
Cardiomyocytes,100,7,49.0,300,3,success,13143,
Cardiomyocytes,100,8,50.0,300,3,success,13190,
Cardiomyocytes,100,9,51.0,300,3,success,13222,
Cardiomyocytes,100,10,52.0,300,3,success,13298,
Cardiomyocytes,100,11,53.0,300,3,success,13232,
Cardiomyocytes,100,12,54.0,300,3,success,13275,
Cardiomyocytes,100,13,55.0,300,3,success,13254,
Cardiomyocytes,100,14,56.0,300,3,success,13143,
Cardiomyocytes,100,15,57.0,300,3,success,13155,
Cardiomyocytes,100,16,58.0,300,3,success,13185,
Cardiomyocytes,100,17,59.0,300,3,success,13429,
Cardiomyocytes,100,18,60.0,300,3,success,13226,
Cardiomyocytes,100,19,61.0,300,3,success,13144,
Cardiomyocytes,100,20,62.0,300,3,success,13166,
Cardiomyocytes,100,21,63.0,300,3,success,13317,
Cardiomyocytes,100,22,64.0,300,3,success,13137,
Cardiomyocytes,100,23,65.0,300,3,success,13216,
Cardiomyocytes,100,24,66.0,300,3,success,13158,
Cardiomyocytes,100,25,67.0,300,3,success,13157,
Cardiomyocytes,100,26,68.0,300,3,success,13174,
Cardiomyocytes,100,27,69.0,300,3,success,13110,
Cardiomyocytes,100,28,70.0,300,3,success,13175,
Cardiomyocytes,100,29,71.0,300,3,success,13086,
Cardiomyocytes,250,0,42.0,750,3,success,13692,
Cardiomyocytes,250,1,43.0,750,3,success,13710,
Cardiomyocytes,250,2,44.0,750,3,success,13695,
Cardiomyocytes,250,3,45.0,750,3,success,13758,
Cardiomyocytes,250,4,46.0,750,3,success,13644,
Cardiomyocytes,250,5,47.0,750,3,success,13602,
Cardiomyocytes,250,6,48.0,750,3,success,13639,
Cardiomyocytes,250,7,49.0,750,3,success,13676,
Cardiomyocytes,250,8,50.0,750,3,success,13658,
Cardiomyocytes,250,9,51.0,750,3,success,13657,
Cardiomyocytes,250,10,52.0,750,3,success,13644,
Cardiomyocytes,250,11,53.0,750,3,success,13645,
Cardiomyocytes,250,12,54.0,750,3,success,13611,
Cardiomyocytes,250,13,55.0,750,3,success,13583,
Cardiomyocytes,250,14,56.0,750,3,success,13650,
Cardiomyocytes,250,15,57.0,750,3,success,13618,
Cardiomyocytes,250,16,58.0,750,3,success,13655,
Cardiomyocytes,250,17,59.0,750,3,success,13635,
Cardiomyocytes,250,18,60.0,750,3,success,13711,
Cardiomyocytes,250,19,61.0,750,3,success,13689,
