"celltype","individual","replicate","barcode"
"CellType","Ind1","Rep1","cell_1"
"CellType","Ind1","Rep1","cell_2"
"CellType","Ind1","Rep1","cell_3"
"CellType","Ind1","Rep1","cell_4"
"CellType","Ind1","Rep1","cell_5"
"CellType","Ind1","Rep1","cell_6"
"CellType","Ind1","Rep1","cell_7"
"CellType","Ind1","Rep1","cell_8"
"CellType","Ind1","Rep1","cell_9"
"CellType","Ind1","Rep1","cell_10"
"CellType","Ind1","Rep1","cell_11"
"CellType","Ind1","Rep1","cell_12"
"CellType","Ind1","Rep1","cell_13"
"CellType","Ind1","Rep1","cell_14"
"CellType","Ind1","Rep1","cell_15"
"CellType","Ind1","Rep1","cell_16"
"CellType","Ind1","Rep1","cell_17"
"CellType","Ind1","Rep1","cell_18"
"CellType","Ind1","Rep1","cell_19"
"CellType","Ind1","Rep1","cell_20"
"CellType","Ind1","Rep1","cell_21"
"CellType","Ind1","Rep1","cell_22"
"CellType","Ind1","Rep1","cell_23"
"CellType","Ind1","Rep1","cell_24"
"CellType","Ind1","Rep1","cell_25"
"CellType","Ind1","Rep1","cell_26"
"CellType","Ind1","Rep1","cell_27"
"CellType","Ind1","Rep1","cell_28"
"CellType","Ind1","Rep1","cell_29"
"CellType","Ind1","Rep1","cell_30"
"CellType","Ind1","Rep1","cell_31"
"CellType","Ind1","Rep1","cell_32"
"CellType","Ind1","Rep1","cell_33"
"CellType","Ind1","Rep1","cell_34"
"CellType","Ind1","Rep1","cell_35"
"CellType","Ind1","Rep1","cell_36"
"CellType","Ind1","Rep1","cell_37"
"CellType","Ind1","Rep1","cell_38"
"CellType","Ind1","Rep1","cell_39"
"CellType","Ind1","Rep1","cell_40"
"CellType","Ind1","Rep1","cell_41"
"CellType","Ind1","Rep1","cell_42"
"CellType","Ind1","Rep1","cell_43"
"CellType","Ind1","Rep1","cell_44"
"CellType","Ind1","Rep1","cell_45"
"CellType","Ind1","Rep1","cell_46"
"CellType","Ind1","Rep1","cell_47"
"CellType","Ind1","Rep1","cell_48"
"CellType","Ind1","Rep1","cell_49"
"CellType","Ind1","Rep1","cell_50"
"CellType","Ind1","Rep1","cell_51"
"CellType","Ind1","Rep1","cell_52"
"CellType","Ind1","Rep1","cell_53"
"CellType","Ind1","Rep1","cell_54"
"CellType","Ind1","Rep1","cell_55"
"CellType","Ind1","Rep1","cell_56"
"CellType","Ind1","Rep1","cell_57"
"CellType","Ind1","Rep1","cell_58"
"CellType","Ind1","Rep1","cell_59"
"CellType","Ind1","Rep1","cell_60"
"CellType","Ind1","Rep1","cell_61"
"CellType","Ind1","Rep1","cell_62"
"CellType","Ind1","Rep1","cell_63"
"CellType","Ind1","Rep1","cell_64"
"CellType","Ind1","Rep1","cell_65"
"CellType","Ind1","Rep1","cell_66"
"CellType","Ind1","Rep1","cell_67"
"CellType","Ind1","Rep1","cell_68"
"CellType","Ind1","Rep1","cell_69"
"CellType","Ind1","Rep1","cell_70"
"CellType","Ind1","Rep1","cell_71"
"CellType","Ind1","Rep1","cell_72"
"CellType","Ind1","Rep1","cell_73"
"CellType","Ind1","Rep1","cell_74"
"CellType","Ind1","Rep1","cell_75"
"CellType","Ind1","Rep1","cell_76"
"CellType","Ind1","Rep1","cell_77"
"CellType","Ind1","Rep1","cell_78"
"CellType","Ind1","Rep1","cell_79"
"CellType","Ind1","Rep1","cell_80"
"CellType","Ind1","Rep1","cell_81"
"CellType","Ind1","Rep1","cell_82"
"CellType","Ind1","Rep1","cell_83"
"CellType","Ind1","Rep1","cell_84"
"CellType","Ind1","Rep1","cell_85"
"CellType","Ind1","Rep1","cell_86"
"CellType","Ind1","Rep1","cell_87"
"CellType","Ind1","Rep1","cell_88"
"CellType","Ind1","Rep1","cell_89"
"CellType","Ind1","Rep1","cell_90"
"CellType","Ind1","Rep1","cell_91"
"CellType","Ind1","Rep1","cell_92"
"CellType","Ind1","Rep1","cell_93"
"CellType","Ind1","Rep1","cell_94"
"CellType","Ind1","Rep1","cell_95"
"CellType","Ind1","Rep1","cell_96"
"CellType","Ind1","Rep1","cell_97"
"CellType","Ind1","Rep1","cell_98"
"CellType","Ind1","Rep1","cell_99"
"CellType","Ind1","Rep1","cell_100"
"CellType","Ind1","Rep1","cell_101"
"CellType","Ind1","Rep1","cell_102"
"CellType","Ind1","Rep1","cell_103"
"CellType","Ind1","Rep1","cell_104"
"CellType","Ind1","Rep1","cell_105"
"CellType","Ind1","Rep1","cell_106"
"CellType","Ind1","Rep1","cell_107"
"CellType","Ind1","Rep1","cell_108"
"CellType","Ind1","Rep1","cell_109"
"CellType","Ind1","Rep1","cell_110"
"CellType","Ind1","Rep1","cell_111"
"CellType","Ind1","Rep1","cell_112"
"CellType","Ind1","Rep1","cell_113"
"CellType","Ind1","Rep1","cell_114"
"CellType","Ind1","Rep1","cell_115"
"CellType","Ind1","Rep1","cell_116"
"CellType","Ind1","Rep1","cell_117"
"CellType","Ind1","Rep1","cell_118"
"CellType","Ind1","Rep1","cell_119"
"CellType","Ind1","Rep1","cell_120"
"CellType","Ind1","Rep1","cell_121"
"CellType","Ind1","Rep1","cell_122"
"CellType","Ind1","Rep1","cell_123"
"CellType","Ind1","Rep1","cell_124"
"CellType","Ind1","Rep1","cell_125"
"CellType","Ind1","Rep1","cell_126"
"CellType","Ind1","Rep1","cell_127"
"CellType","Ind1","Rep1","cell_128"
"CellType","Ind1","Rep1","cell_129"
"CellType","Ind1","Rep1","cell_130"
"CellType","Ind1","Rep1","cell_131"
"CellType","Ind1","Rep1","cell_132"
"CellType","Ind1","Rep1","cell_133"
"CellType","Ind1","Rep1","cell_134"
"CellType","Ind1","Rep1","cell_135"
"CellType","Ind1","Rep1","cell_136"
"CellType","Ind1","Rep1","cell_137"
"CellType","Ind1","Rep1","cell_138"
"CellType","Ind1","Rep1","cell_139"
"CellType","Ind1","Rep1","cell_140"
"CellType","Ind1","Rep1","cell_141"
"CellType","Ind1","Rep1","cell_142"
"CellType","Ind1","Rep1","cell_143"
"CellType","Ind1","Rep1","cell_144"
"CellType","Ind1","Rep1","cell_145"
"CellType","Ind1","Rep1","cell_146"
"CellType","Ind1","Rep1","cell_147"
"CellType","Ind1","Rep1","cell_148"
"CellType","Ind1","Rep1","cell_149"
"CellType","Ind1","Rep1","cell_150"
"CellType","Ind1","Rep1","cell_151"
"CellType","Ind1","Rep1","cell_152"
"CellType","Ind1","Rep1","cell_153"
"CellType","Ind1","Rep1","cell_154"
"CellType","Ind1","Rep1","cell_155"
"CellType","Ind1","Rep1","cell_156"
"CellType","Ind1","Rep1","cell_157"
"CellType","Ind1","Rep1","cell_158"
"CellType","Ind1","Rep1","cell_159"
"CellType","Ind1","Rep1","cell_160"
"CellType","Ind1","Rep1","cell_161"
"CellType","Ind1","Rep1","cell_162"
"CellType","Ind1","Rep1","cell_163"
"CellType","Ind1","Rep1","cell_164"
"CellType","Ind1","Rep1","cell_165"
"CellType","Ind1","Rep1","cell_166"
"CellType","Ind1","Rep1","cell_167"
"CellType","Ind1","Rep1","cell_168"
"CellType","Ind1","Rep1","cell_169"
"CellType","Ind1","Rep1","cell_170"
"CellType","Ind1","Rep1","cell_171"
"CellType","Ind1","Rep1","cell_172"
"CellType","Ind1","Rep1","cell_173"
"CellType","Ind1","Rep1","cell_174"
"CellType","Ind1","Rep1","cell_175"
"CellType","Ind1","Rep1","cell_176"
"CellType","Ind1","Rep1","cell_177"
"CellType","Ind1","Rep1","cell_178"
"CellType","Ind1","Rep1","cell_179"
"CellType","Ind1","Rep1","cell_180"
"CellType","Ind1","Rep1","cell_181"
"CellType","Ind1","Rep1","cell_182"
"CellType","Ind1","Rep1","cell_183"
"CellType","Ind1","Rep1","cell_184"
"CellType","Ind1","Rep1","cell_185"
"CellType","Ind1","Rep1","cell_186"
"CellType","Ind1","Rep1","cell_187"
