,gene,sg^Ind1^Rep1^CellType
0,gene-1,-10.003314267806525
1,gene-3,-9.910100317723643
2,gene-4,-10.082204480122611
3,gene-5,-11.347408281871008
4,gene-6,-10.504597202296335
5,gene-7,-9.274851619086792
6,gene-8,-10.971880185389608
7,gene-10,-10.738396837768342
8,gene-12,-11.515661016246087
9,gene-13,-11.56225372941127
10,gene-14,-10.58397843166409
11,gene-15,-9.73453586985197
12,gene-16,-8.591315114679471
13,gene-17,-9.608908028195314
14,gene-19,-11.045496416047024
15,gene-20,-9.682253945287302
16,gene-23,-9.485730648059395
17,gene-24,-11.472644642805838
18,gene-25,-11.471234029551198
19,gene-26,-10.624644284583262
20,gene-28,-10.948332200220182
21,gene-29,-11.288611757504823
22,gene-30,-11.299216033732156
23,gene-31,-10.405540001325043
24,gene-32,-11.054572298180435
25,gene-33,-10.029503277507821
26,gene-34,-9.387157346649227
27,gene-35,-9.7874957243398
28,gene-36,-9.38167088756573
29,gene-37,-9.965223141973146
30,gene-38,-10.590919764878247
31,gene-39,-11.633553737094642
32,gene-40,-10.434261399152403
33,gene-41,-11.266315120084645
34,gene-42,-10.090228523155815
35,gene-45,-10.284266432439143
36,gene-47,-9.154844673266185
37,gene-48,-10.14461406621155
38,gene-49,-10.802497026761236
39,gene-50,-10.607411193290675
40,gene-51,-11.3209881166288
41,gene-52,-9.475774400120889
42,gene-53,-11.348956731268869
43,gene-55,-11.115881006525072
44,gene-56,-10.460047216385624
45,gene-57,-8.781521933058709
46,gene-58,-9.5608300475521
47,gene-59,-11.208928128273381
48,gene-60,-10.654674622296723
49,gene-62,-11.001936508784294
50,gene-63,-9.198205060127176
51,gene-64,-9.973729534322494
52,gene-66,-11.34591760562502
53,gene-67,-10.768491869633689
54,gene-68,-10.544720949620245
55,gene-69,-8.457610163802006
56,gene-70,-10.092693194335709
57,gene-72,-10.74834416599252
58,gene-73,-11.302816570967023
59,gene-74,-10.32101289665788
60,gene-75,-11.031820031272527
61,gene-76,-11.150373518340302
62,gene-78,-10.948204761498525
63,gene-81,-9.45521587996964
64,gene-83,-11.338218764212307
65,gene-84,-9.345621241236184
66,gene-85,-9.246644287131415
67,gene-87,-11.012454009324003
68,gene-88,-9.4428355049127
69,gene-91,-10.909199317807802
70,gene-93,-10.959510456582136
71,gene-94,-11.463631584104968
72,gene-95,-8.664985763244038
73,gene-96,-10.596307450686393
74,gene-97,-8.568181994073763
75,gene-98,-9.662213048784281
76,gene-99,-10.206418960600145
77,gene-100,-10.314605612833013
78,gene-102,-9.924806524377525
79,gene-103,-10.190111903718869
80,gene-104,-10.491469413033045
81,gene-105,-10.58625785233394
82,gene-106,-8.163398453064225
83,gene-108,-10.923384741968272
84,gene-109,-10.94152212337229
85,gene-111,-9.432216653458738
86,gene-112,-10.282585720568129
87,gene-114,-10.375809330717058
88,gene-115,-11.074392067447427
89,gene-116,-10.009160443976013
90,gene-117,-5.770326339769302
91,gene-118,-7.504685331223438
92,gene-119,-5.458374400313835
93,gene-120,-9.920369181855786
94,gene-121,-8.475113019300794
95,gene-122,-8.542939878160853
96,gene-123,-9.026080670590371
97,gene-124,-11.140639414382056
98,gene-125,-10.012203737142793
99,gene-126,-7.875405223037194
100,gene-127,-8.786097953793954
101,gene-128,-11.17402693872085
102,gene-129,-11.059572349992145
103,gene-130,-10.10562151480008
104,gene-131,-10.346783194676782
105,gene-134,-10.676847672160088
106,gene-135,-10.814304588254831
107,gene-136,-8.530370579839127
108,gene-137,-11.288008659710604
109,gene-138,-11.1132897908212
110,gene-139,-11.176927797999285
111,gene-140,-10.294567858017647
112,gene-141,-10.022939080440358
113,gene-142,-9.706982040013266
114,gene-143,-10.955650778938328
115,gene-145,-9.781609625632782
116,gene-146,-8.95270916245816
117,gene-150,-10.353396796648745
118,gene-151,-9.975507251166961
119,gene-152,-11.424631530143428
120,gene-153,-10.263398111739935
121,gene-154,-10.160791444929677
122,gene-156,-10.568254071068514
123,gene-157,-11.216107975925196
124,gene-158,-11.22949009756212
